Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
Gopi Bhog, Ahmedabad,Bapunagar,Biryani,3.7,3.6,10,0,262.8788079470198,151
Gordhan Thaal, Ahmedabad,Satellite,North Indian,4.3,4.1,0,0,493.75,8
HL Frankie, Ahmedabad,Navrangpura,Beverages,3.7,3.9,0,637,238.63076923076923,65
Hari Om Centre, Ahmedabad,Vastrapur,Gujarati,3.3,3.7,63,0,221.23926380368096,163
Hari Om Chole Puri, Ahmedabad,Ellis Bridge,Gujarati,3.8,3.9,47,0,222.65060240963857,166
Havmor Havfunn Ice Cream, Ahmedabad,Shahpur,Desserts,3.6,4.2,0,3,211.67222222222225,108
Iscon Thal, Ahmedabad,Satellite,Gujarati,4.0,3.9,444,0,242.8765909090909,44
Italio's Pizza, Ahmedabad,C G Road,Fast Food,3.822264031240087,3.9,0,0,215.9538461538461,65
Jalaram, Ahmedabad,Kalupur,North Indian,4.1,4.1,115,0,118.1734693877551,98
Jalaram Parotha House, Ahmedabad,Naranpura,North Indian,3.822264031240087,3.9,0,174,88.25,108
Jassi De Parathe, Ahmedabad,Vastrapur,Beverages,4.3,4.3,0,0,230.8947368421053,190
Jay Bhavani Vadapav, Ahmedabad,Navrangpura,Beverages,3.9,3.2,294,0,75.0,154
Jay Shree Jalaram Parotha House, Ahmedabad,Naranpura,Kathiyawadi,3.822264031240087,3.4,2,556,99.78518518518518,135
Karnavati Dabeli, Ahmedabad,Ellis Bridge,Fast Food,3.7,4.0,14,737,67.98701298701299,77
Karnavati Snacks, Ahmedabad,Paldi,Sandwich,3.4,3.6,1,201,117.46031746031746,189
Khichdi Etc, Ahmedabad,Navrangpura,North Indian,4.4,4.2,764,0,239.18965517241372,116
La Milano Pizzeria, Ahmedabad,Ambavadi,Fast Food,4.2,4.0,542,0,261.6792452830189,159
London Yard Pizza, Ahmedabad,Paldi,Beverages,3.4,3.7,127,0,247.91666666666663,108
MS Food, Ahmedabad,Navrangpura,Shake,3.822264031240087,3.7,0,5,121.28125,64
Maharaja Thalis, Ahmedabad,Gurukul,Gujarati,3.822264031240087,3.9,0,0,189.7684931506849,146
Marky Momos, Ahmedabad,Navrangpura,Beverages,3.3,4.0,34,0,476.5212345679012,567
Martino'z Pizza, Ahmedabad,Paldi,Mexican,4.4,3.9,0,9,219.655,100
Momoman, Ahmedabad,Navrangpura,Sichuan,3.822264031240087,3.9,2,482,223.7311827956989,93
Mumbaiya Misal & Vadapav, Ahmedabad,Navrangpura,Maharashtrian,3.9,3.8,4,427,108.88888888888889,126
New Bombay Biryani, Ahmedabad,Shahpur,Biryani,3.8,3.7,82,0,185.41666666666663,12
New Freeze Land, Ahmedabad,C G Road,Beverages,4.2,4.1,896,0,199.8051948051948,154
Nishat Restaurant, Ahmedabad,Bhadra,Ice Cream,3.4,4.0,117,0,372.2674418604651,172
Om Food Centre, Ahmedabad,Satellite,Kathiyawadi,3.6,3.8,2,484,206.26415094339623,159
P. Bhagat Tarachand, Ahmedabad,Mani Nagar,Beverages,3.1,3.6,27,0,221.75399361022363,313
PFZ, Ahmedabad,Mani Nagar,Sichuan,3.8,3.9,22,983,158.6141304347826,184
Pizza Tune, Ahmedabad,Satellite,Desserts,3.0,3.5,188,0,122.95454545454544,66
Pizza Zone, Ahmedabad,Paldi,Pasta,3.2,4.0,44,924,169.1951219512195,41
Prithvi Hotel, Ahmedabad,Mani Nagar,Desserts,3.8,4.0,254,0,247.3018372703412,381
Puffizza, Ahmedabad,Gurukul,Beverages,4.3,4.1,0,0,267.967032967033,91
Purohit Restaurant, Ahmedabad,Mani Nagar,Chinese,4.2,4.1,383,0,194.46443514644352,239
RP's Pizzeria, Ahmedabad,Paldi,Pasta,4.1,3.8,264,0,390.3380281690141,71
Radhe Restaurants, Ahmedabad,Subhash Bridge,Beverages,3.9,3.9,27,0,249.2702290076336,262
Sam's Pizza, Ahmedabad,Navrangpura,Fast Food,3.8,4.0,673,0,257.98148148148147,108
Shakti - The Sandwich Shop, Ahmedabad,Ellis Bridge,Beverages,3.6,3.9,230,0,167.67857142857142,56
Shivam Bhojnalay, Ahmedabad,Gurukul,Gujarati,3.0,3.5,149,0,259.2783505154639,194
Shree Marutinandan Kathiyawadi Restaurant, Ahmedabad,Shivalik Yash,Beverages,3.2,3.8,44,0,141.50324675324674,308
Shree Mehfil, Ahmedabad,Sola,Desserts,4.2,4.3,357,0,228.641975308642,243
Square Thali, Ahmedabad,Navrangpura,North Indian,3.822264031240087,3.7,0,756,157.3582089552239,67
The Grand Thakar, Ahmedabad,Satellite,Beverages,4.3,4.2,0,0,142.40983606557376,61
The House Of Momo's, Ahmedabad,Mani Nagar,Chinese,4.3,3.6,35,0,213.88333333333333,120
The Hunger Box, Ahmedabad,Bodakdev,Salad,3.822264031240087,4.0,0,0,235.5405405405405,74
The Kebabish, Ahmedabad,Kankaria,Fast Food,3.8,3.7,337,0,302.5133689839572,187
The Lio Pizza, Ahmedabad,Paldi,Beverages,3.8,3.8,36,0,277.3557692307692,104
The Mohalla, Ahmedabad,Mani Nagar,Sichuan,4.1,3.7,105,0,219.74479166666663,192
Umiya Annpurna Kathiyawadi, Ahmedabad,Isanpur,North Indian,3.3,3.8,42,0,134.4954954954955,111
Urban Khichdi, Ahmedabad,Navrangpura,Beverages,4.6,4.1,0,0,240.68,125
Vadilal - Scoop Shop, Ahmedabad,Ellis Bridge,Beverages,3.3,4.5,29,843,146.82092857142857,140
Virasat - E - Curry, Ahmedabad,Memnagar,North Indian,3.822264031240087,3.9,0,0,208.6985294117647,136
William John's Pizza, Ahmedabad,Navrangpura,American,3.3,3.9,0,22,220.2826086956522,46
Z K Fry Centre, Ahmedabad,Bhadra,Mughlai,3.8,3.8,133,902,198.5057471264368,87
GOPIZZA, Banaswadi,Orion East,Fast Food,3.7,3.8,47,139,335.8932989690722,97
7 Plates, Bangalore,Frazer Town,Seafood,3.822264031240087,4.3,0,0,241.782122905028,179
99 Variety Dosa & Pav Bhaji, Bangalore,Koramangala 6th Block,Maharashtrian,3.9,3.5,164,0,117.13496932515338,163
A2B - Adyar Ananda Bhavan, Bangalore,Shanti Nagar,Beverages,3.4,4.1,6,0,177.48738372093024,344
Ande Ka Funda, Bangalore,BTM,Chinese,3.2,3.8,92,0,101.75838926174497,149
Andhra Gunpowder, Bangalore,Seshadripuram,Hyderabadi,3.822264031240087,4.3,0,0,337.59375,96
Aromas Of Biryani, Bangalore,Jayanagar,North Indian,4.2,4.0,423,0,285.1468253968254,504
Behrouz Biryani, Bangalore,Shanti Nagar,Kebab,3.822264031240087,4.1,0,644,609.2972972972973,333
Beijing Bites, Bangalore,Richmond Road,Momos,3.8,3.8,385,0,274.1474820143885,278
Brik Oven, Bangalore,Church Street,Shake,4.6,3.9,0,0,411.1194029850746,134
Bucket Biryani, Bangalore,Brigade Road,Kebab,3.6,4.2,15,981,497.78125,64
Burger King, Bangalore,Commercial Street,Beverages,3.8,4.1,747,0,254.63289940828403,1352
Chaat Street, Bangalore,Koramangala 4th Block,Beverages,3.822264031240087,3.8,0,0,143.02142857142857,140
Chickpet Donne Biryani House, Bangalore,Jayanagar,Kebab,2.6,3.8,5,487,306.72093023255815,86
Chinese Wok, Bangalore,Malleshwaram,Chinese,3.3,4.0,2,593,277.85561497326205,187
Crispy Studio, Bangalore,JP Nagar,Biryani,4.1,4.2,59,0,233.6571304347826,115
Daily Sushi, Bangalore,Church Street,Beverages,4.3,4.3,138,240,434.6818181818182,220
Domino's Pizza, Bangalore,MG Road,Fast Food,3.4,3.7,86,0,305.0587038327526,1435
Donne Biriyani Mane, Bangalore,Indiranagar,South Indian,3.5,4.1,184,0,394.98,50
Donne Biryani House, Bangalore,Malleshwaram,South Indian,3.7,4.0,111,0,166.0,20
EasyBites by Empire, Bangalore,Brigade Road,Beverages,3.822264031240087,3.9,0,0,216.9512195121951,123
EatFit, Bangalore,Cunningham Road,Beverages,3.822264031240087,4.1,0,0,231.7420382165605,314
Five Star Chicken, Bangalore,Richmond Road,Burger,3.5,3.5,0,22,140.64150943396226,53
FreshMenu, Bangalore,Richmond Road,Chinese,3.822264031240087,3.9,0,0,259.40474020054694,1097
FreshMenu, Bangalore,Frazer Town,Chinese,3.822264031240087,3.9,0,0,259.40474020054694,1097
Goila Butter Chicken, Bangalore,Koramangala 6th Block,Rolls,3.822264031240087,3.9,0,612,292.6117647058824,170
Goli Vada Pav No. 1, Bangalore,Kammanahalli,Ice Cream,3.3,3.7,1,213,96.0559574468085,47
Gopaljee Cafe, Bangalore,Koramangala 7th Block,Beverages,4.1,4.1,121,0,135.15625,64
HSR High Street, Bangalore,HSR,Desserts,3.9,4.0,0,0,220.9763779527559,254
Hari Super Sandwich, Bangalore,Basavanagudi,Pizza,4.2,3.8,342,0,85.78658536585365,164
Hari Super Sandwich, Bangalore,Seshadripuram,Street Food,3.8,3.8,1,304,85.78658536585365,164
Hotel Karavali Food Point, Bangalore,Vijay Nagar,Chinese,3.7,3.6,196,0,135.60087719298247,228
Hotel N.G.T Non Veg, Bangalore,Vijay Nagar,Chinese,3.822264031240087,4.0,0,908,160.375,96
Hotel Navayuga, Bangalore,Majestic,Biryani,4.4,4.2,294,0,350.0,18
IBC (Indian Biryani Company), Bangalore,Koramangala 5th Block,Mughlai,3.822264031240087,3.7,0,888,258.2151898734177,79
Iyer Mess, Bangalore,Malleshwaram,South Indian,3.4,4.2,373,0,56.57142857142857,7
Just Cakes, Bangalore,Koramangala 7th Block,Desserts,3.822264031240087,4.1,0,0,331.0416666666667,48
KFC, Bangalore,Brigade Road,Beverages,4.0,3.7,159,660,349.67315579227693,751
Karnataka Biryani Point, Bangalore,Rajajinagar,South Indian,3.7,3.8,37,0,89.44444444444444,9
Kataria's, Bangalore,BTM,Beverages,3.1,3.5,87,0,99.8876404494382,178
Keventers - Milkshakes & Desserts, Bangalore,Garuda Mall,Desserts,3.4,4.3,22,910,224.39866492146595,382
Kolkata Famous Kati Roll, Bangalore,Nagawara,Rolls,3.822264031240087,3.6,0,0,81.05263157894737,19
Krispy Kreme, Bangalore,Richmond Road,Beverages,3.5,4.4,60,0,208.17021276595744,47
Kwality Walls Frozen Dessert and Ice Cream Shop, Bangalore,Wilson Garden,Desserts,3.822264031240087,4.2,0,553,163.5984251968504,127
La Pino'z Pizza, Bangalore,Basavanagudi,Fast Food,2.5,3.9,26,0,216.2983870967742,868
Lassi N Cafe, Bangalore,Banaswadi,Beverages,3.7,3.9,3,18,124.40625,160
Lassi Shop, Bangalore,Residency Road,Fast Food,3.6,3.5,0,63,99.09183673469389,294
Living Bowls, Bangalore,Koramangala 7th Block,Juices,3.822264031240087,3.7,0,604,210.32407407407408,108
Lulu Hypermarket, Bangalore,Rajajinagar,Bakery,3.9,3.9,23,0,237.4804469273743,179
MOJO Pizza - 2X Toppings, Bangalore,Shanti Nagar,Desserts,3.822264031240087,4.3,0,590,341.6040268456376,298
Magnolia Bakery, Bangalore,Indiranagar,Beverages,4.0,4.4,898,0,348.5882352941176,85
Marwadi Chaat & Tiffin Services, Bangalore,Shanti Nagar,Beverages,3.7,3.8,107,0,226.77433628318585,226
McDonald's, Bangalore,MG Road,Beverages,3.5,3.8,214,0,264.2809762020398,2059
Meat And Eat, Bangalore,Domlur,Desserts,3.4,3.6,76,0,234.1656626506024,332
Meghana Foods, Bangalore,Residency Road,Seafood,4.3,4.4,0,0,278.0494326241135,282
Meghduth Biryanis, Bangalore,Sanjay Nagar,South Indian,3.822264031240087,3.7,0,0,328.80392156862746,51
Mother's Meal, Bangalore,CV Raman Nagar,Chinese,4.2,4.3,162,0,162.41810344827587,116
NIC Ice Creams, Bangalore,Frazer Town,Desserts,3.822264031240087,4.5,0,0,196.3634210526316,228
Nandini Deluxe, Bangalore,Banaswadi,Bbq,3.9,3.7,109,0,274.02054794520546,146
Nisarga, Bangalore,Basaveshwara Nagar,Biryani,3.4,4.1,137,0,237.2130801687764,237
Onesta, Bangalore,Mantri Square,Beverages,3.822264031240087,3.6,0,197,232.26657458563537,362
Paratha Club, Bangalore,New BEL Road,North Indian,3.4,4.2,20,84,125.0,37
Paratha Envy, Bangalore,Seshadripuram,North Indian,3.822264031240087,4.2,0,169,100.07692307692308,13
Pathaan Sir, Bangalore,Wilson Garden,Rolls,3.822264031240087,3.4,0,280,142.35443037974684,79
Pizza Hut, Bangalore,Shanti Nagar,Beverages,3.4,3.9,271,0,287.27036211699163,1077
Pizza@99, Bangalore,Rajajinagar,Fast Food,3.822264031240087,3.2,0,578,144.02631578947367,76
Puliyogare Point, Bangalore,Basavanagudi,Desserts,4.2,4.3,760,0,69.01724137931035,58
RNR Biryani - Taste Of 1953, Bangalore,Jayanagar,Andhra,4.2,4.3,0,0,379.7637795275591,127
Razakhiya Hotel, Bangalore,HBR Layout,Sichuan,3.7,3.9,60,0,191.0540540540541,185
Rolls On Wheels, Bangalore,St. Marks Road,North Indian,3.1,4.0,0,64,236.3870967741936,93
Roti Ghar, Bangalore,Basavanagudi,Beverages,3.5,4.1,927,0,133.93730407523512,319
Sandwich Guru, Bangalore,Wilson Garden,Beverages,3.822264031240087,4.1,0,11,67.97872340425532,94
Savi Sagar, Bangalore,Malleshwaram,Beverages,3.9,3.8,221,0,133.7155172413793,232
Shanmukha, Bangalore,JP Nagar,Seafood,4.2,4.1,0,0,279.72121212121215,165
Sri Udupi Food Hub, Bangalore,Majestic,Beverages,3.3,4.1,7,0,157.84765625,256
TKS Iyengars, Bangalore,Basaveshwara Nagar,South Indian,3.4,4.0,79,0,75.33098591549296,142
Tapri By The Corner, Bangalore,Koramangala 5th Block,Chinese,4.2,3.7,179,0,174.04605263157896,152
Texas Burgers, Bangalore,Thippasandra,Burger,3.822264031240087,4.0,0,0,304.54330708661416,127
Thalairaj Biryani, Bangalore,Indiranagar,South Indian,3.822264031240087,4.1,0,0,263.8840579710145,69
Theobroma, Bangalore,Lavelle Road,Beverages,3.3,4.3,32,0,388.8848920863309,278
Truffles, Bangalore,St. Marks Road,Desserts,4.6,4.3,0,0,220.9531320754717,530
WOW! China, Bangalore,Church Street,Momos,4.0,3.9,47,0,256.0793926247289,461
WOW! Momo, Bangalore,Church Street,Fast Food,3.0,4.2,4,180,192.7151861702128,376
Wendy's Burgers, Bangalore,Shanti Nagar,American,3.822264031240087,4.2,0,0,241.7195652173913,460
A1 Ambur Briyani & Kababs, Chennai,Aminijikarai,Chinese,4.0,3.7,92,0,254.0943396226415,106
A2B - Adyar Ananda Bhavan, Chennai,Purasavakkam,Juices,3.6,4.2,137,0,177.48738372093024,344
AB's - Absolute Barbecues, Chennai,T. Nagar,Desserts,4.7,3.7,0,0,346.11380952380955,84
Adhiya Beef Biriyani, Chennai,Nungambakkam,Biryani,3.822264031240087,3.6,0,0,163.66037735849056,106
Agarwal's Desi Khana Khazana, Chennai,Kilpauk,Rajasthani,3.1,4.1,26,484,204.85534591194968,159
Al Baik, Chennai,Egmore,Beverages,3.0,3.5,48,716,378.959595959596,99
Al Faham, Chennai,Vepery,Beverages,3.6,3.6,117,0,267.0685483870968,248
Ambaram Fast Food, Chennai,Egmore,Biryani,3.8,3.6,35,0,137.58620689655172,58
Ambur Star Briyani, Chennai,T. Nagar,Sichuan,4.2,4.0,207,0,340.65656565656565,198
Anjappar, Chennai,Parrys,Beverages,3.1,3.8,74,0,284.8728813559322,236
Armaani Biryani, Chennai,Arumbakkam,Seafood,3.822264031240087,3.6,0,84,319.86486486486484,37
BBQ Master, Chennai,Perambur,Sichuan,3.5,4.1,4,0,217.14634146341464,123
Babal Da Punjabi Dabha, Chennai,Egmore,Beverages,4.4,4.2,405,0,277.9638242894057,387
Basheer Bai Biriyani, Chennai,Egmore,Kerala,3.3,3.8,16,0,162.0,10
Bismillah Briyani & Fast Foods, Chennai,Kolathur,Sichuan,3.9,3.8,176,0,202.88023952095807,167
Buhari Vintage Hotel, Chennai,Kilpauk,Beverages,3.5,4.1,101,0,296.8160377358491,212
BurgerMan, Chennai,Egmore,Beverages,4.4,4.3,56,921,256.5247524752475,101
Cafe Amin, Chennai,Royapettah,Beverages,4.1,4.2,260,0,208.4172661870504,139
Chicking, Chennai,Nungambakkam,Fast Food,3.3,4.0,151,0,345.7654320987654,81
Chidambaram New Moorthy Cafe, Chennai,Anna Nagar West,Beverages,4.3,4.1,246,0,247.7003745318352,267
Courtallam Border Rahmath Kadai, Chennai,T. Nagar,Biryani,4.0,4.0,904,0,242.3305785123967,121
Delhi Dhaba, Chennai,Gopalapuram,Beverages,3.0,3.8,6,23,280.51181102362204,127
Dindigul Veetu Kalyanam, Chennai,Egmore,Biryani,3.822264031240087,3.5,0,601,200.5,44
Domino's Pizza, Chennai,Perambur,Desserts,3.5,4.2,4,0,305.0587038327526,1435
EatFit, Chennai,Aminijikarai,Beverages,3.822264031240087,4.0,0,0,231.7420382165605,314
Eating Circles, Chennai,Alwarpet,South Indian,4.6,4.1,875,0,148.44736842105263,76
Ferrara Pizzeria, Chennai,Nungambakkam,Fast Food,3.9,4.1,27,319,332.9375,32
Five Star Chicken, Chennai,Triplicane,Rolls,3.822264031240087,3.4,0,0,140.64150943396226,53
Go Grill, Chennai,Arumbakkam,Bbq,3.0,4.2,0,205,200.83898305084745,118
Great Indian Khichdi by EatFit, Chennai,Aminijikarai,Beverages,3.822264031240087,4.0,0,676,185.06976744186048,86
Grill A Delics, Chennai,Washermenpet,Beverages,4.1,3.8,142,303,254.19078947368425,152
Gusto Pizza, Chennai,Mylapore,Fast Food,3.822264031240087,3.8,0,77,258.4054054054054,111
Hotel Paramount, Chennai,Kilpauk,Beverages,4.1,4.2,975,0,212.512,250
Hotel Sennthur, Chennai,Anna Salai,Beverages,3.8,4.2,171,0,137.07981220657277,213
Ibrahim Biriyani, Chennai,Kilpauk,Kebab,3.8,4.0,41,0,110.0,10
Jango'z, Chennai,Royapuram,Fast Food,3.9,3.6,7,674,358.2657575757576,99
Junior Kuppanna, Chennai,Nungambakkam,Beverages,3.4,3.6,108,0,357.280487804878,164
KFC, Chennai,Park Town,Fast Food,3.6,3.8,0,32,349.67315579227693,751
KMS Hakkim Kalyana Biriyani, Chennai,Nungambakkam,Beverages,2.9,3.7,17,819,316.1456310679612,309
Keifer, Chennai,Purasavakkam,Shake,3.822264031240087,3.7,0,140,153.78542510121457,247
Khalids Biriyani, Chennai,T. Nagar,Chinese,3.5,3.8,31,0,604.0540579710146,138
Kim Ling Chinese Restaurant, Chennai,Anna Nagar East,Beverages,4.3,4.3,539,0,295.06734006734007,297
Kunafa House, Chennai,Nungambakkam,Desserts,3.9,4.2,62,746,353.1818181818182,22
Lina's Brickoven Newyork Pizzeria, Chennai,T. Nagar,Fast Food,4.4,4.1,72,968,552.1103448275862,145
Little Hut, Chennai,Anna Nagar West,Bbq,3.6,4.0,177,570,240.72941176470587,255
Little India, Chennai,Alwarpet,Biryani,4.0,4.2,32,340,230.95951417004048,247
Little Italy, Chennai,Nungambakkam,Pizza,4.4,3.8,349,0,451.3787234042553,235
Liza Restaurant, Chennai,Vepery,Beverages,3.9,4.1,141,0,203.75061728395065,405
Madurai Pandian Mess, Chennai,Royapettah,Bbq,3.3,4.0,166,0,150.7391304347826,115
Madurai Sri Thevar Hotel, Chennai,Parrys,South Indian,3.8,3.7,112,0,167.94392523364485,107
Mathsya, Chennai,Egmore,Shake,4.2,4.1,0,0,180.73529411764707,272
McDonald's, Chennai,Anna Salai,Fast Food,3.6,3.9,152,0,264.2809762020398,2059
Meat And Eat, Chennai,Royapettah,Beverages,3.0,3.7,77,0,234.1656626506024,332
Mr. Burger, Chennai,Parrys,Fast Food,3.7,3.9,0,137,184.3636363636364,77
Navrang Restaurant, Chennai,Royapettah,Sichuan,3.8,3.9,122,0,165.1361502347418,213
Nxtdoor, Chennai,Purasavakkam,Sichuan,3.822264031240087,3.9,0,0,168.28803191489362,188
Oyalo Pizza, Chennai,Triplicane,Desserts,3.822264031240087,3.6,0,520,382.9622222222222,45
